,IATA Code,Airport Name,Latitude Decimal Degrees,Longitude Decimal Degrees,City
1089,HMN,HOLLOMAN AFB,32.852,-106.106,alamogordo
1090,HOB,LEA CO RGNL,32.688,-103.217,hobbs
1091,HON,HURON RGNL,44.385,-98.228,huron
1092,HOP,CAMPBELL AAF,36.668,-87.496,hopkinsville
1093,HOU,WILLIAM P HOBBY,29.645,-95.279,houston
1094,HPN,WESTCHESTER CO,41.067,-73.707,white plains
1095,HRL,VALLEY INTERNATIONAL,26.228,-97.654,harlingen
1096,HRO,BOONE CO,36.261,-93.155,harrison
1097,HRT,HURLBURT FLD,30.428,-86.689,mary esther
1098,HST,HOMESTEAD ARB,25.488,-80.384,homestead
1099,HTL,ROSCOMMON CO,44.36,-84.671,houghton lake
1100,HUA,REDSTONE AAF,34.679,-86.685,redstone
1101,HUF,TERRE HAUTE INTERNATIONAL HULMAN FLD,39.451,-87.307,terre haute
1102,HUL,HOULTON INTERNATIONAL,46.123,-67.792,houlton
1103,HVR,HAVRE CITY CO,48.543,-109.762,havre
1104,HWO,NORTH PERRY,26.001,-80.24,hollywood
1105,IAB,MC CONNELL AFB,37.623,-97.267,wichita
1106,IAD,WASHINGTON DULLES INTERNATIONAL,38.944,-77.456,washington
1107,IAG,NIAGARA FALLS INTERNATIONAL,43.107,-78.946,niagara falls
1108,IAH,GEORGE BUSH INTCNTL HOUSTON,29.98,-95.34,houston
1109,ICT,WICHITA MID CONTINENT,37.65,-97.433,wichita
1110,IKK,GREATER KANKAKEE,41.071,-87.846,kankakee
1111,ABQ,ALBUQUERQUE INTERNATIONAL SUNPORT,35.04,-106.609,kirtland a.f.b.
1112,ILG,NEW CASTLE CO,39.679,-75.606,wilmington
1113,ILM,WILMINGTON INTERNATIONAL,34.271,-77.903,wilmington
1114,IND,INDIANAPOLIS INTERNATIONAL,39.717,-86.294,indianapolis
1115,INK,WINKLER CO,31.779,-103.201,wink
1116,INL,FALLS INTERNATIONAL,48.566,-93.403,international falls
1117,INS,INDIAN SPRINGS AF AUX,36.587,-115.673,indian springs
1118,INT,SMITH REYNOLDS,36.134,-80.222,winston-salem
1119,IPL,IMPERIAL CO,32.834,-115.579,imperial
1120,IPT,WILLIAMSPORT RGNL,41.242,-76.921,williamsport
1121,ISN,SLOULIN FLD INTERNATIONAL,48.178,-103.642,williston
1122,ISP,LONG ISLAND MAC ARTHUR,40.795,-73.1,islip
1123,JAN,JACKSON INTERNATIONAL,32.311,-90.076,jackson
1124,JAX,JACKSONVILLE INTERNATIONAL,30.494,-81.688,jacksonville
1125,JBR,JONESBORO MUNI,35.832,-90.646,jonesboro
1126,JFK,JOHN F KENNEDY INTERNATIONAL,40.64,-73.779,new york
1127,LAN,CAPITAL CITY,42.779,-84.587,lansing
1128,LAS,MC CARRAN INTERNATIONAL,36.08,-115.152,las vegas
1129,LAX,LOS ANGELES INTERNATIONAL,33.942,-118.408,los angeles
1130,LBB,LUBBOCK INTERNATIONAL,33.664,-101.823,lubbock
1131,LCH,LAKE CHARLES RGNL,30.126,-93.223,lake charles
1132,LCK,RICKENBACKER INTERNATIONAL,39.814,-82.928,columbus
1133,LFI,LANGLEY AFB,37.083,-76.36,hampton
1134,LFK,ANGELINA CO,31.234,-94.75,lufkin
1135,LFT,LAFAYETTE RGNL,30.205,-91.987,lafayette
1136,LGA,LA GUARDIA,40.777,-73.872,new york
1137,LGB,LONG BEACH,33.818,-118.151,long beach
1138,LHW,WRIGHT AAF,31.889,-81.562,wright
1139,LIT,ADAMS FLD,34.729,-92.224,little rock
1140,LNA,PALM BEACH CO PARK,26.593,-80.085,west palm beach
1141,LNK,LINCOLN MUNI,40.851,-96.759,lincoln
1142,LOU,BOWMAN FLD,38.228,-85.664,louisville
1143,LRD,LAREDO INTERNATIONAL,27.544,-99.461,laredo
1144,LRF,LITTLE ROCK AFB,34.918,-92.146,jacksonville
1145,LSF,LAWSON AAF,32.337,-84.991,fort benning
1146,LSV,NELLIS AFB,36.236,-115.034,las vegas
1147,LTS,ALTUS AFB,34.667,-99.267,altus
1148,LUF,LUKE AFB,33.535,-112.383,phoenix
1149,LUK,CINCINNATI MUNI LUNKEN FLD,39.103,-84.419,cincinnati
1150,MAF,MIDLAND INTERNATIONAL,31.942,-102.202,midland
1151,MCC,MC CLELLAN AFLD,38.667,-121.401,sacramento
1152,MCF,MACDILL AFB,27.849,-82.521,tampa
1153,MCI,KANSAS CITY INTERNATIONAL,39.297,-94.714,kansas city
1154,MCN,MIDDLE GEORGIA RGNL,32.693,-83.649,macon
1155,MCO,ORLANDO INTERNATIONAL,28.429,-81.316,orlando
1156,MDT,HARRISBURG INTERNATIONAL,40.193,-76.763,harrisburg
1157,MDW,CHICAGO MIDWAY INTERNATIONAL,41.786,-87.752,chicago
1158,MEM,MEMPHIS INTERNATIONAL,35.042,-89.977,memphis
1159,MER,CASTLE,37.38,-120.568,merced
1160,MFE,MC ALLEN MILLER INTERNATIONAL,26.176,-98.239,mcallen
1161,MGE,DOBBINS ARB,33.915,-84.516,marietta
1162,MHR,SACRAMENTO MATHER,38.554,-121.297,sacramento
1163,MIA,MIAMI INTERNATIONAL,25.793,-80.291,miami
1164,MIB,MINOT AFB,48.416,-101.357,minot
1165,MIV,MILLVILLE MUNI,39.368,-75.072,millville
1166,MKE,GENERAL MITCHELL INTERNATIONAL,42.947,-87.896,milwaukee
1167,MKL,MC KELLAR SIPES RGNL,35.6,-88.916,jackson
1168,MKO,DAVIS FLD,35.657,-95.361,muskogee
1169,MLB,MELBOURNE INTERNATIONAL,28.103,-80.645,melbourne
1170,MLC,MC ALESTER RGNL,34.882,-95.783,mcalester
1171,MLT,MILLINOCKET MUNI,45.648,-68.686,millinocket
1172,MLU,MONROE RGNL,32.511,-92.037,monroe
1173,MMV,MC MINNVILLE MUNI,45.194,-123.136,mackminnville
1174,MNM,MENOMINEE MARINETTE TWIN CO,45.126,-87.638,macon
1175,MOB,MOBILE RGNL,30.691,-88.243,mobile
1176,MOD,MODESTO CITY CO HARRY SHAM,37.626,-120.954,modesto
1177,MOT,MINOT INTERNATIONAL,48.259,-101.28,minot
1178,MPV,EDWARD F KNAPP STATE,44.203,-72.562,montpelier
1179,MQT,SAWYER INTERNATIONAL,46.534,-87.562,marquette
1180,MSN,DANE CO RGNL TRUAX FLD,43.14,-89.337,madison
1181,MSP,MINNEAPOLIS ST PAUL INTERNATIONAL,44.88,-93.217,minneapolis
1182,MSS,MASSENA INTERNATIONAL RICHARDS FLD,44.936,-74.845,massena
1183,MSY,LOUIS ARMSTRONG NEW ORLEANS INTERNATIONAL,29.993,-90.258,new orleans
1184,MTC,SELFRIDGE ANGB,42.613,-82.832,mount clemens
1185,MUI,MUIR AAF,40.435,-76.569,muir
1186,MUO,MOUNTAIN HOME AFB,43.043,-115.872,mountain home
1187,MWH,GRANT CO INTERNATIONAL,47.208,-119.32,grant county airport
1188,MWL,MINERAL WELLS,32.781,-98.06,mineral wells
1189,MXF,MAXWELL AFB,32.379,-86.362,montgomery
1190,MYR,MYRTLE BEACH INTERNATIONAL,33.68,-78.928,myrtle beach
1191,NBC,BEAUFORT MCAS,32.477,-80.723,beaufort
1192,NBG,NEW ORLEANS NAS JRB,29.825,-90.035,new orleans
1193,NCA,NEW RIVER MCAS,34.708,-77.439,jacksonville
1194,NEL,LAKEHURST NAES,40.033,-74.353,lakehurst
1195,NFL,FALLON NAS,39.416,-118.701,fallon
1196,NGU,NORFOLK NS,36.938,-76.289,norfolk
1197,NHK,PATUXENT RIVER NAS,38.286,-76.412,patuxent river
1198,NID,CHINA LAKE NAWS,35.688,-117.691,china
1199,NIP,JACKSONVILLE NAS,30.236,-81.681,jacksonville
1200,NJK,EL CENTRO NAF,32.829,-115.672,el centro
1201,NKT,CHERRY POINT MCAS,34.902,-76.881,cherry point
1202,NKX,MIRAMAR MCAS,32.868,-117.143,miramar
1203,NLC,LEMOORE NAS,36.333,-119.952,lemoore
1204,NMM,MERIDIAN NAS,32.552,-88.556,meridian
1205,NOW,PORT ANGELES CGAS,48.141,-123.414,port angeles
1206,NPA,PENSACOLA NAS,30.353,-87.319,pensacola
1207,NQA,MILLINGTON MUNI,35.357,-89.87,millington
1208,NQI,KINGSVILLE NAS,27.507,-97.81,kingsville
1209,NQX,KEY WEST NAS,24.576,-81.689,key west
1210,NSE,WHITING FLD NAS NORTH,30.724,-87.022,milton
1211,NTD,POINT MUGU NAS,34.12,-119.121,point mugu
1212,NTK,TUSTIN MCAF,33.706,-117.827,tustin
1213,NTU,OCEANA NAS,36.821,-76.033,oceana
1214,NUQ,MOFFETT FEDERAL AFLD,37.415,-122.048,mountain view
1215,NUW,WHIDBEY ISLAND NAS,48.352,-122.656,whidbey island
1216,NXP,TWENTYNINE PALMS EAF,34.296,-116.162,twenty nine palms
1217,NXX,WILLOW GROVE NAS JRB,40.2,-75.148,willow grove
1218,NYG,QUANTICO MCAF,38.502,-77.305,quantico
1219,NZC,CECIL FLD,30.219,-81.876,jacksonville
1220,NZY,NORTH ISLAND NAS,32.699,-117.215,san diego
1221,OAK,METROPOLITAN OAKLAND INTERNATIONAL,37.721,-122.221,oakland
1222,OFF,OFFUTT AFB,41.118,-95.913,omaha
1223,OGS,OGDENSBURG INTERNATIONAL,44.682,-75.466,ogdensburg
1224,OKC,WILL ROGERS WORLD,35.393,-97.601,oklahoma city
1225,OLS,NOGALES INTERNATIONAL,31.418,-110.848,nogales
1226,OMA,EPPLEY AFLD,41.302,-95.894,omaha
1227,ONT,ONTARIO INTERNATIONAL,34.056,-117.601,ontario
1228,OPF,OPA LOCKA,25.907,-80.278,miami
1229,ORD,CHICAGO OHARE INTERNATIONAL,41.979,-87.904,chicago
1230,ORF,NORFOLK INTERNATIONAL,36.894,-76.201,norfolk
1231,ORL,EXECUTIVE,28.545,-81.333,orlando
1232,PAE,SNOHOMISH CO,47.906,-122.281,everett
1233,PAM,TYNDALL AFB,30.07,-85.576,panama city
1234,PBF,GRIDER FLD,34.175,-91.934,pine bluff
1235,PBG,PLATTSBURGH INTERNATIONAL,44.651,-73.468,plattsburgh
1236,PBI,PALM BEACH INTERNATIONAL,26.683,-80.096,west palm beach
1237,PDX,PORTLAND INTERNATIONAL,45.589,-122.597,portland
1238,PHF,NEWPORT NEWS WILLIAMSBURG INTERNATIONAL,37.132,-76.493,newport news
1239,PHL,PHILADELPHIA INTERNATIONAL,39.872,-75.241,philadelphia
1240,PHN,ST CLAIR CO INTERNATIONAL,42.911,-82.529,port huron
1241,PHX,PHOENIX SKY HARBOR INTERNATIONAL,33.434,-112.008,phoenix
1242,PIE,ST PETERSBURG CLEARWATER INTERNATIONAL,27.911,-82.687,st. petersburg
1243,PIT,PITTSBURGH INTERNATIONAL,40.491,-80.233,pittsburgh (pennsylva)
1244,PMD,PALMDALE PROD FLT TEST INSTL AF PLT 42,34.629,-118.084,palmdale
1245,PNC,PONCA CITY MUNI,36.731,-97.1,ponca city
1246,PNE,NORTHEAST PHILADELPHIA,40.082,-75.011,philadelphia
1247,PNM,PRINCETON MUNI,45.56,-93.608,princeton
